SWEREF99TM_N,SWEREF99TM_E,Län,Lokal,Fiske,redskapet,Fångstområde1,StationsNr1,DJUPSTRATUM,Störning1,Fiskedatum1,Ansträngning,Fångsttyp1,Artbestämning,Antal1,Vikt,Beräknad_vikt1,Antal_per_anstr1,Fisketid_enhet,Fisketid,Redskap_enhet,Antal_Redskap,Lat_grader,Long_grader,Information
6702801,675000,Uppsala län,Forsmark,Kontrollprogram kustöversiktsnät oktober,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Forsmark,28, 6-10 m,NEJ,2016-10-25,2,Provfiskad ,Abborre,29,"3,299","3,723","14,50",natt,1,översiktsnät,2,"60,42350","18,17900",
6702801,675000,Uppsala län,Forsmark,Kontrollprogram kustöversiktsnät oktober,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Forsmark,28, 6-10 m,NEJ,2016-10-25,2,Provfiskad ,Gärs,17,"0,455","0,550","8,50",natt,1,översiktsnät,2,"60,42350","18,17900",
6702801,675000,Uppsala län,Forsmark,Kontrollprogram kustöversiktsnät oktober,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Forsmark,28, 6-10 m,NEJ,2016-10-25,2,Provfiskad ,Mört,1,"0,074","0,079","0,50",natt,1,översiktsnät,2,"60,42350","18,17900",
6702801,675000,Uppsala län,Forsmark,Kontrollprogram kustöversiktsnät oktober,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Forsmark,28, 6-10 m,NEJ,2016-10-25,2,Provfiskad ,Sik,2,"1,459","1,340","1,00",natt,1,översiktsnät,2,"60,42350","18,17900",
6702801,675000,Uppsala län,Forsmark,Kontrollprogram kustöversiktsnät oktober,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Forsmark,28, 6-10 m,NEJ,2016-10-25,2,Provfiskad ,Strömming,8,"0,297","0,322","4,00",natt,1,översiktsnät,2,"60,42350","18,17900",
6702801,675000,Uppsala län,Forsmark,Kontrollprogram kustöversiktsnät oktober,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Forsmark,28, 6-10 m,NEJ,2016-10-25,2,Skadad fångst ospecificerat ,Strömming,1,"0,072","0,073","0,50",natt,1,översiktsnät,2,"60,42350","18,17900",
6702801,675000,Uppsala län,Forsmark,Kontrollprogram kustöversiktsnät oktober,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Forsmark,28, 6-10 m,JA,2016-10-27,2,Provfiskad ,Abborre,20,"1,579","1,799","10,00",natt,1,översiktsnät,2,"60,42350","18,17900",
6702801,675000,Uppsala län,Forsmark,Kontrollprogram kustöversiktsnät oktober,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Forsmark,28, 6-10 m,JA,2016-10-27,2,Provfiskad ,Gärs,15,"0,448","0,433","7,50",natt,1,översiktsnät,2,"60,42350","18,17900",
6702801,675000,Uppsala län,Forsmark,Kontrollprogram kustöversiktsnät oktober,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Forsmark,28, 6-10 m,JA,2016-10-27,2,Provfiskad ,Mört,3,"0,159","0,141","1,50",natt,1,översiktsnät,2,"60,42350","18,17900",
6702801,675000,Uppsala län,Forsmark,Kontrollprogram kustöversiktsnät oktober,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Forsmark,28, 6-10 m,JA,2016-10-27,2,Provfiskad ,Sarv,1,"0,069","0,069","0,50",natt,1,översiktsnät,2,"60,42350","18,17900",
