SWEREF99TM_N,SWEREF99TM_E,Län,Lokal,Fiske,redskapet,Fångstområde1,StationsNr1,DJUPSTRATUM,Störning1,Fiskedatum1,Ansträngning,Fångsttyp1,Artbestämning,Antal1,Vikt,Beräknad_vikt1,Antal_per_anstr1,Fisketid_enhet,Fisketid,Redskap_enhet,Antal_Redskap,Lat_grader,Long_grader,Information
6836962,617271,Gävleborgs län,Gävleborgs län,Inventering Bnord12 maj juni,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Agöfjärden,, -,NEJ,2019-06-04,18,Provfiskad ,Abborre,69,"5,314","5,144","3,83",natt,18,översiktsnät,1,"61,64800","17,21377",Vintergatsfjärden nät#6 GIS#46
6836962,617271,Gävleborgs län,Gävleborgs län,Inventering Bnord12 maj juni,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Agöfjärden,, -,NEJ,2019-06-04,18,Provfiskad ,Löja,36,"0,454","0,440","2,00",natt,18,översiktsnät,1,"61,64800","17,21377",Vintergatsfjärden nät#6 GIS#46
6836962,617271,Gävleborgs län,Gävleborgs län,Inventering Bnord12 maj juni,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Agöfjärden,, -,NEJ,2019-06-04,18,Provfiskad ,Mört,69,"1,588","1,677","3,83",natt,18,översiktsnät,1,"61,64800","17,21377",Vintergatsfjärden nät#6 GIS#46
6836962,617271,Gävleborgs län,Gävleborgs län,Inventering Bnord12 maj juni,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Agöfjärden,, -,NEJ,2019-06-04,18,Provfiskad ,Nors,3,"0,059","0,058","0,17",natt,18,översiktsnät,1,"61,64800","17,21377",Vintergatsfjärden nät#6 GIS#46
6836962,617271,Gävleborgs län,Gävleborgs län,Inventering Bnord12 maj juni,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Agöfjärden,, -,NEJ,2019-06-04,18,Provfiskad ,Storspigg,1,"0,002","0,002","0,06",natt,18,översiktsnät,1,"61,64800","17,21377",Vintergatsfjärden nät#6 GIS#46
6836868,617280,Gävleborgs län,Gävleborgs län,Inventering Bnord12 maj juni,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Agöfjärden,, -,NEJ,2019-06-04,18,Provfiskad ,Abborre,57,"4,151","4,604","3,17",natt,18,översiktsnät,1,"61,64715","17,21388",Vintergatsfjärden nät#7 GIS#45
6836868,617280,Gävleborgs län,Gävleborgs län,Inventering Bnord12 maj juni,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Agöfjärden,, -,NEJ,2019-06-04,18,Provfiskad ,Björkna,1,"0,024","0,025","0,06",natt,18,översiktsnät,1,"61,64715","17,21388",Vintergatsfjärden nät#7 GIS#45
6836868,617280,Gävleborgs län,Gävleborgs län,Inventering Bnord12 maj juni,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Agöfjärden,, -,NEJ,2019-06-04,18,Provfiskad ,Gärs,4,"1,154","2,771","0,22",natt,18,översiktsnät,1,"61,64715","17,21388",Vintergatsfjärden nät#7 GIS#45
6836868,617280,Gävleborgs län,Gävleborgs län,Inventering Bnord12 maj juni,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Agöfjärden,, -,NEJ,2019-06-04,18,Provfiskad ,Löja,9,"0,135","0,136","0,50",natt,18,översiktsnät,1,"61,64715","17,21388",Vintergatsfjärden nät#7 GIS#45
6836868,617280,Gävleborgs län,Gävleborgs län,Inventering Bnord12 maj juni,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Agöfjärden,, -,NEJ,2019-06-04,18,Provfiskad ,Mört,25,"0,535","0,600","1,39",natt,18,översiktsnät,1,"61,64715","17,21388",Vintergatsfjärden nät#7 GIS#45
