Textbox4,Textbox7,Fångstområde1,StationsNr1,DJUPSTRATUM,Störning1,Fiskedatum1,Ansträngning,Fångsttyp1,Artbestämning,Antal1,Vikt,Beräknad_vikt1,Antal_per_anstr1,Fisketid,Antal_Redskap,Lat_grader,Long_grader,Information
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2004-08-06,1,Provfiskad ,Abborre,9,,"0,884","9,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2004-08-06,1,Provfiskad ,Mört,54,,"2,232","54,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2004-08-06,1,Provfiskad ,Sik,2,,"0,431","2,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2004-08-06,1,Provfiskad ,Storspigg,5,,"0,018","5,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2004-08-06,1,Provfiskad ,Strömming,29,,"0,596","29,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2005-08-03,1,Provfiskad ,Abborre,3,,"0,253","3,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2005-08-03,1,Provfiskad ,Löja,3,,"0,099","3,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2005-08-03,1,Provfiskad ,Mört,32,,"1,338","32,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2005-08-03,1,Provfiskad ,Sik,1,,"0,164","1,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2005-08-03,1,Provfiskad ,Storspigg,167,,"0,614","167,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2005-08-03,1,Provfiskad ,Strömming,30,,"0,745","30,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2006-08-01,1,Provfiskad ,Abborre,2,,"0,044","2,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2006-08-01,1,Provfiskad ,Gädda,1,,"2,091","1,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2006-08-01,1,Provfiskad ,Mört,14,,"0,766","14,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2006-08-01,1,Provfiskad ,Storspigg,208,,"0,769","208,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2006-08-01,1,Provfiskad ,Strömming,14,,"0,358","14,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2007-07-31,1,Provfiskad ,Abborre,3,,"0,541","3,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2007-07-31,1,Provfiskad ,Löja,2,,"0,060","2,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2007-07-31,1,Provfiskad ,Mört,4,,"0,474","4,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2007-07-31,1,Provfiskad ,Storspigg,178,,"0,660","178,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2007-07-31,1,Provfiskad ,Strömming,19,,"0,449","19,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2008-07-30,1,Provfiskad ,Abborre,1,,"0,006","1,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2008-07-30,1,Provfiskad ,Mört,3,,"0,098","3,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2008-07-30,1,Provfiskad ,Storspigg,353,,"1,296","353,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2008-07-30,1,Provfiskad ,Strömming,74,,"1,534","74,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2009-08-04,1,Provfiskad ,Abborre,7,"0,429","0,476","7,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2009-08-04,1,Provfiskad ,Mört,49,"1,176","1,101","49,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2009-08-04,1,Provfiskad ,Storspigg,194,"0,766","0,721","194,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2009-08-04,1,Provfiskad ,Strömming,24,"0,585","0,584","24,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2010-07-28,1,Provfiskad ,Abborre,1,"0,025","0,022","1,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2010-07-28,1,Provfiskad ,Mört,58,"1,063","0,992","58,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2010-07-28,1,Provfiskad ,Storspigg,488,"1,976","1,835","488,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2010-07-28,1,Provfiskad ,Strömming,17,"0,424","0,428","17,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2011-08-03,1,Provfiskad ,Abborre,8,"1,254","1,237","8,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2011-08-03,1,Provfiskad ,Mört,73,"2,598","2,349","73,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2011-08-03,1,Provfiskad ,Storspigg,301,"1,204","1,109","301,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2011-08-03,1,Provfiskad ,Strömming,14,"0,367","0,371","14,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2012-08-08,1,Provfiskad ,Abborre,13,"0,288","0,290","13,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2012-08-08,1,Provfiskad ,Mört,80,"2,139","1,930","80,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2012-08-08,1,Provfiskad ,Sik,1,"0,374","0,383","1,00",1,1,"62,87883","18,21533",
Fisketid natt,Antal översiktsnät,Gaviksfjärden,101,"0,1-3 m",NEJ,2012-08-08,1,Provfiskad ,Storspigg,303,"1,199","1,168","303,00",1,1,"62,87883","18,21533",
