Textbox4,Textbox7,Fångstområde1,StationsNr1,DJUPSTRATUM,Störning1,Fiskedatum1,Ansträngning,Fångsttyp1,Artbestämning,Antal1,Vikt,Beräknad_vikt1,Antal_per_anstr1,Fisketid,Antal_Redskap,Lat_grader,Long_grader,Information
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2002-08-06,1,Provfiskad ,Abborre,44,"3,535","4,012","44,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2002-08-06,1,Provfiskad ,Storspigg,27,"0,089","0,093","27,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2002-08-06,1,Provfiskad ,Strömming,9,"0,255","0,251","9,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2002-08-06,1,Provfiskad ,Tånglake,1,"0,039","0,037","1,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2003-08-05,1,Provfiskad ,Abborre,75,,"5,690","75,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2003-08-05,1,Provfiskad ,Gärs,2,,"0,014","2,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2003-08-05,1,Provfiskad ,Mört,1,,"0,093","1,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2004-08-03,1,Provfiskad ,Abborre,1,,"0,169","1,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2004-08-03,1,Provfiskad ,Gärs,12,,"0,743","12,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2004-08-03,1,Provfiskad ,Storspigg,7,,"0,023","7,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2004-08-03,1,Provfiskad ,Strömming,2,,"0,056","2,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2005-08-10,1,Provfiskad ,Abborre,4,,"0,362","4,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2005-08-10,1,Provfiskad ,Gärs,4,,"0,180","4,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2005-08-10,1,Provfiskad ,Mört,5,,"0,264","5,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2005-08-10,1,Provfiskad ,Storspigg,1,,"0,004","1,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2005-08-10,1,Provfiskad ,Strömming,1,,"0,019","1,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2006-08-07,1,Provfiskad ,Abborre,29,,"3,746","29,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2006-08-07,1,Provfiskad ,Mört,10,,"0,615","10,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2006-08-07,1,Provfiskad ,Sik,1,,"0,644","1,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2006-08-07,1,Provfiskad ,Storspigg,6,,"0,017","6,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2006-08-07,1,Provfiskad ,Strömming,19,,"0,458","19,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2007-08-05,1,Provfiskad ,Abborre,15,,"2,485","15,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2007-08-05,1,Provfiskad ,Gärs,3,,"0,064","3,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2007-08-05,1,Provfiskad ,Löja,1,,"0,022","1,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2007-08-05,1,Provfiskad ,Mört,4,,"0,575","4,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2007-08-05,1,Provfiskad ,Storspigg,2,,"0,006","2,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2007-08-05,1,Provfiskad ,Strömming,13,,"0,286","13,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2008-08-04,1,Provfiskad ,Abborre,10,,"0,966","10,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2008-08-04,1,Provfiskad ,Gärs,11,,"0,818","11,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2008-08-04,1,Provfiskad ,Storspigg,8,,"0,027","8,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2008-08-04,1,Provfiskad ,Strömming,4,,"0,098","4,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2009-08-04,1,Provfiskad ,Abborre,29,,"1,298","29,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2009-08-04,1,Provfiskad ,Gärs,10,,"0,497","10,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2009-08-04,1,Provfiskad ,Mört,3,,"0,239","3,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2009-08-04,1,Provfiskad ,Sik,1,,"0,383","1,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2009-08-04,1,Provfiskad ,Storspigg,267,,"0,980","267,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2009-08-04,1,Provfiskad ,Strömming,11,,"0,257","11,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2010-08-03,1,Provfiskad ,Abborre,24,"1,862","2,176","24,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2010-08-03,1,Provfiskad ,Gärs,6,"0,095","0,095","6,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2010-08-03,1,Provfiskad ,Löja,1,"0,023","0,027","1,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2010-08-03,1,Provfiskad ,Mört,5,"0,753","0,690","5,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2010-08-03,1,Provfiskad ,Storspigg,28,"0,108","0,092","28,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2010-08-03,1,Provfiskad ,Strömming,3,"0,070","0,067","3,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2011-08-02,1,Provfiskad ,Abborre,20,"1,765","2,013","20,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2011-08-02,1,Provfiskad ,Gärs,10,"0,473","0,509","10,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2011-08-02,1,Provfiskad ,Mört,4,"0,207","0,203","4,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2011-08-02,1,Provfiskad ,Sik,1,"0,161","0,164","1,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2011-08-02,1,Provfiskad ,Storspigg,202,"0,794","0,733","202,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2011-08-02,1,Provfiskad ,Strömming,31,"0,773","0,788","31,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2012-07-31,1,Provfiskad ,Abborre,52,"4,831","5,277","52,00",1,1,"63,67767","20,84800",
Fisketid natt,Antal översiktsnät,Holmön,101,"0,1-3 m",NEJ,2012-07-31,1,Provfiskad ,Gärs,25,"1,103","1,172","25,00",1,1,"63,67767","20,84800",
