Textbox4,Textbox7,Fångstområde1,StationsNr1,DJUPSTRATUM,Störning1,Fiskedatum1,Ansträngning,Fångsttyp1,Artbestämning,Antal1,Vikt,Beräknad_vikt1,Antal_per_anstr1,Fisketid,Antal_Redskap,Lat_grader,Long_grader,Information
Fisketid natt,Antal översiktsnät,Kinnbäcksfjärden,101,"0,1-3 m",NEJ,2004-08-04,1,Provfiskad ,Abborre,42,,"2,343","42,00",1,1,"65,06033","21,47383",
Fisketid natt,Antal översiktsnät,Kinnbäcksfjärden,101,"0,1-3 m",NEJ,2004-08-04,1,Provfiskad ,Gärs,4,,"0,122","4,00",1,1,"65,06033","21,47383",
Fisketid natt,Antal översiktsnät,Kinnbäcksfjärden,101,"0,1-3 m",NEJ,2004-08-04,1,Provfiskad ,Sik,1,,"0,546","1,00",1,1,"65,06033","21,47383",
Fisketid natt,Antal översiktsnät,Kinnbäcksfjärden,101,"0,1-3 m",NEJ,2004-08-04,1,Provfiskad ,Storspigg,43,,"0,150","43,00",1,1,"65,06033","21,47383",
Fisketid natt,Antal översiktsnät,Kinnbäcksfjärden,101,"0,1-3 m",NEJ,2005-08-12,1,Provfiskad ,Abborre,14,,"1,795","14,00",1,1,"65,06033","21,47383",
Fisketid natt,Antal översiktsnät,Kinnbäcksfjärden,101,"0,1-3 m",NEJ,2005-08-12,1,Provfiskad ,Storspigg,1,,"0,004","1,00",1,1,"65,06033","21,47383",
Fisketid natt,Antal översiktsnät,Kinnbäcksfjärden,101,"0,1-3 m",NEJ,2006-08-04,1,Provfiskad ,Abborre,35,,"2,697","35,00",1,1,"65,06033","21,47383",
Fisketid natt,Antal översiktsnät,Kinnbäcksfjärden,101,"0,1-3 m",NEJ,2006-08-04,1,Provfiskad ,Gärs,5,,"0,141","5,00",1,1,"65,06033","21,47383",
Fisketid natt,Antal översiktsnät,Kinnbäcksfjärden,101,"0,1-3 m",NEJ,2006-08-04,1,Provfiskad ,Storspigg,4,,"0,013","4,00",1,1,"65,06033","21,47383",
Fisketid natt,Antal översiktsnät,Kinnbäcksfjärden,101,"0,1-3 m",NEJ,2007-08-16,1,Provfiskad ,Abborre,76,,"5,648","76,00",1,1,"65,06033","21,47383",
