Textbox4,Textbox7,Fångstområde1,StationsNr1,DJUPSTRATUM,Störning1,Fiskedatum1,Ansträngning,Fångsttyp1,Artbestämning,Antal1,Vikt,Beräknad_vikt1,Antal_per_anstr1,Fisketid,Antal_Redskap,Lat_grader,Long_grader,Information
Fisketid natt,Antal översiktsnät,Långvindsfjärden,101,"0,1-3 m",NEJ,2002-08-21,1,Provfiskad ,Abborre,105,"6,587","7,130","105,00",1,1,"61,45267","17,14367",
Fisketid natt,Antal översiktsnät,Långvindsfjärden,101,"0,1-3 m",NEJ,2002-08-21,1,Provfiskad ,Gärs,3,"0,041","0,037","3,00",1,1,"61,45267","17,14367",
Fisketid natt,Antal översiktsnät,Långvindsfjärden,101,"0,1-3 m",NEJ,2002-08-21,1,Provfiskad ,Mört,10,"0,437","0,465","10,00",1,1,"61,45267","17,14367",
Fisketid natt,Antal översiktsnät,Långvindsfjärden,101,"0,1-3 m",NEJ,2003-08-14,1,Provfiskad ,Abborre,23,,"3,346","23,00",1,1,"61,45267","17,14367",
Fisketid natt,Antal översiktsnät,Långvindsfjärden,101,"0,1-3 m",NEJ,2003-08-14,1,Provfiskad ,Gärs,11,,"0,111","11,00",1,1,"61,45267","17,14367",
Fisketid natt,Antal översiktsnät,Långvindsfjärden,101,"0,1-3 m",NEJ,2003-08-14,1,Provfiskad ,Löja,1,,"0,006","1,00",1,1,"61,45267","17,14367",
Fisketid natt,Antal översiktsnät,Långvindsfjärden,101,"0,1-3 m",NEJ,2003-08-14,1,Provfiskad ,Mört,44,,"1,353","44,00",1,1,"61,45267","17,14367",
Fisketid natt,Antal översiktsnät,Långvindsfjärden,101,"0,1-3 m",NEJ,2004-08-04,1,Provfiskad ,Abborre,44,,"1,479","44,00",1,1,"61,45267","17,14367",
Fisketid natt,Antal översiktsnät,Långvindsfjärden,101,"0,1-3 m",NEJ,2004-08-04,1,Provfiskad ,Gärs,2,,"0,023","2,00",1,1,"61,45267","17,14367",
Fisketid natt,Antal översiktsnät,Långvindsfjärden,101,"0,1-3 m",NEJ,2004-08-04,1,Provfiskad ,Löja,14,,"0,143","14,00",1,1,"61,45267","17,14367",
