Textbox4,Textbox7,Fångstområde1,StationsNr1,DJUPSTRATUM,Störning1,Fiskedatum1,Ansträngning,Fångsttyp1,Artbestämning,Antal1,Vikt,Beräknad_vikt1,Antal_per_anstr1,Fisketid,Antal_Redskap,Lat_grader,Long_grader,Information
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2002-08-20,1,Provfiskad ,Abborre,36,"2,124","2,257","36,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2002-08-20,1,Provfiskad ,Gärs,2,"0,126","0,135","2,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2002-08-20,1,Provfiskad ,Strömming,4,"0,094","0,080","4,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2003-08-11,1,Provfiskad ,Abborre,21,,"1,545","21,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2003-08-11,1,Provfiskad ,Id,1,,"0,047","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2003-08-11,1,Provfiskad ,Stäm,2,,"0,017","2,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2004-08-12,1,Provfiskad ,Abborre,61,,"1,128","61,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2004-08-12,1,Provfiskad ,Mört,1,,"0,166","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2004-08-12,1,Provfiskad ,Strömming,2,,"0,051","2,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2004-08-12,1,Provfiskad ,Stäm,2,,"0,106","2,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",JA,2005-08-10,1,Provfiskad ,Abborre,22,,"1,402","22,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",JA,2005-08-10,1,Provfiskad ,Id,10,,"1,983","10,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",JA,2005-08-10,1,Provfiskad ,Storspigg,5,,"0,014","5,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",JA,2005-08-10,1,Provfiskad ,Stäm,2,,"0,068","2,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",JA,2006-08-16,1,Provfiskad ,Abborre,61,,"4,236","61,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",JA,2006-08-16,1,Provfiskad ,Mört,10,,"0,330","10,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",JA,2006-08-16,1,Provfiskad ,Storspigg,26,,"0,098","26,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",JA,2006-08-16,1,Provfiskad ,Strömming,2,,"0,056","2,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2007-08-14,1,Provfiskad ,Abborre,22,,"2,368","22,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2007-08-14,1,Provfiskad ,Gärs,2,,"0,135","2,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2007-08-14,1,Provfiskad ,Mört,14,,"0,894","14,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2007-08-14,1,Provfiskad ,Storspigg,1,,"0,004","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2007-08-14,1,Provfiskad ,Strömming,5,,"0,122","5,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2008-08-13,1,Provfiskad ,Abborre,51,,"3,297","51,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2008-08-13,1,Provfiskad ,Gärs,10,,"0,483","10,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2008-08-13,1,Provfiskad ,Mört,18,,"0,611","18,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2008-08-13,1,Provfiskad ,Storspigg,7,,"0,027","7,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2008-08-13,1,Provfiskad ,Strömming,32,,"0,782","32,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2008-08-13,1,Provfiskad ,Stäm,1,,"0,006","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2009-08-25,1,Provfiskad ,Mört,4,,"0,122","4,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2009-08-25,1,Provfiskad ,Skarpsill,4,,"0,145","4,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2009-08-25,1,Provfiskad ,Storspigg,5,,"0,017","5,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2009-08-25,1,Provfiskad ,Strömming,13,,"0,391","13,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2010-08-17,1,Provfiskad ,Löja,1,"0,023","0,022","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2010-08-17,1,Provfiskad ,Mört,5,"0,032","0,030","5,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2010-08-17,1,Provfiskad ,Skarpsill,1,"0,016","0,014","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2010-08-17,1,Provfiskad ,Storspigg,27,"0,126","0,095","27,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2010-08-17,1,Provfiskad ,Strömming,18,"0,475","0,451","18,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2010-08-17,1,Skadad fångst ospecificerat ,Strömming,1,"0,028","0,023","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2011-08-12,1,Provfiskad ,Abborre,4,"0,337","0,323","4,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2011-08-12,1,Provfiskad ,Gädda,1,"0,245","0,250","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2011-08-12,1,Provfiskad ,Mört,13,"0,136","0,119","13,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2011-08-12,1,Provfiskad ,Storspigg,366,"1,682","1,442","366,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2011-08-12,1,Provfiskad ,Strömming,26,"0,769","0,723","26,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2011-08-12,1,Provfiskad ,Stäm,1,"0,010","0,006","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2012-08-16,1,Provfiskad ,Abborre,6,"0,578","0,579","6,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2012-08-16,1,Provfiskad ,Gärs,3,"0,168","0,170","3,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2012-08-16,1,Provfiskad ,Storspigg,83,"0,380","0,335","83,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2012-08-16,1,Provfiskad ,Strömming,32,"0,909","0,872","32,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2013-08-07,1,Provfiskad ,Abborre,27,"2,492","2,533","27,00",1,1,"63,54083","19,85867",10 STSP längd stämmer med prot.
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2013-08-07,1,Provfiskad ,Gärs,2,"0,065","0,067","2,00",1,1,"63,54083","19,85867",10 STSP längd stämmer med prot.
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2013-08-07,1,Provfiskad ,Id,1,"0,336","0,344","1,00",1,1,"63,54083","19,85867",10 STSP längd stämmer med prot.
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2013-08-07,1,Provfiskad ,Löja,1,"0,017","0,014","1,00",1,1,"63,54083","19,85867",10 STSP längd stämmer med prot.
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2013-08-07,1,Provfiskad ,Mört,9,"0,312","0,294","9,00",1,1,"63,54083","19,85867",10 STSP längd stämmer med prot.
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2013-08-07,1,Provfiskad ,Sik,2,"0,384","0,415","2,00",1,1,"63,54083","19,85867",10 STSP längd stämmer med prot.
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2013-08-07,1,Provfiskad ,Storspigg,236,"1,146","0,883","236,00",1,1,"63,54083","19,85867",10 STSP längd stämmer med prot.
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2013-08-07,1,Provfiskad ,Strömming,23,"0,683","0,583","23,00",1,1,"63,54083","19,85867",10 STSP längd stämmer med prot.
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2014-08-05,1,Provfiskad ,Abborre,4,"0,526","0,545","4,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2014-08-05,1,Provfiskad ,Löja,2,"0,052","0,045","2,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2014-08-05,1,Provfiskad ,Mört,61,"2,221","2,017","61,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2014-08-05,1,Provfiskad ,Storspigg,1,"0,005","0,004","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2014-08-05,1,Provfiskad ,Stäm,1,"0,041","0,031","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2016-08-19,1,Provfiskad ,Mört,8,"0,705","0,717","8,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2016-08-19,1,Provfiskad ,Storspigg,1,"0,005","0,004","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2016-08-19,1,Provfiskad ,Strömming,20,"0,515","0,505","20,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2017-08-08,1,Provfiskad ,Gärs,8,"0,549","0,593","8,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2017-08-08,1,Provfiskad ,Löja,12,"0,242","0,210","12,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2017-08-08,1,Provfiskad ,Mört,18,"1,235","1,171","18,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2017-08-08,1,Provfiskad ,Sik,2,"1,739","1,532","2,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2017-08-08,1,Provfiskad ,Storspigg,46,"0,196","0,169","46,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2017-08-08,1,Provfiskad ,Strömming,44,"1,136","1,089","44,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2017-08-08,1,Skadad fångst ospecificerat ,Strömming,6,,"0,156","6,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2018-08-07,1,Provfiskad ,Abborre,27,"2,739","2,800","27,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2018-08-07,1,Provfiskad ,Gärs,2,"0,114","0,127","2,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2018-08-07,1,Provfiskad ,Löja,1,"0,037","0,033","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2018-08-07,1,Provfiskad ,Mört,84,"1,554","1,414","84,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2018-08-07,1,Provfiskad ,Sik,1,"0,631","0,644","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2018-08-07,1,Provfiskad ,Storspigg,94,"0,431","0,353","94,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2018-08-07,1,Provfiskad ,Stäm,9,"0,257","0,271","9,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2018-08-07,1,Skadad fångst ospecificerat ,Mört,1,,,"1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2018-08-07,1,Skadad fångst ospecificerat ,Storspigg,1,,,"1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2019-08-06,1,Provfiskad ,Abborre,24,"1,026","1,036","24,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2019-08-06,1,Provfiskad ,Gärs,1,"0,027","0,030","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2019-08-06,1,Provfiskad ,Id,4,"1,406","1,408","4,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2019-08-06,1,Provfiskad ,Löja,103,"1,891","1,829","103,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2019-08-06,1,Provfiskad ,Mört,94,"3,612","3,331","94,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2019-08-06,1,Provfiskad ,Sik,1,"0,379","0,383","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2019-08-06,1,Provfiskad ,Storspigg,173,"0,739","0,641","173,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2019-08-06,1,Skadad fångst ospecificerat ,Löja,1,,,"1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2020-08-04,1,Provfiskad ,Abborre,2,"0,157","0,162","2,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2020-08-04,1,Provfiskad ,Gärs,12,"0,489","0,521","12,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2020-08-04,1,Provfiskad ,Id,1,"0,021","0,024","1,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2020-08-04,1,Provfiskad ,Löja,6,"0,114","0,128","6,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2020-08-04,1,Provfiskad ,Mört,100,"2,469","2,196","100,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2020-08-04,1,Provfiskad ,Storspigg,13,"0,060","0,052","13,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2020-08-04,1,Provfiskad ,Strömming,37,"0,884","0,903","37,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2021-08-11,1,Bifångst fågel ,Svärta,4,,,"4,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2021-08-11,1,Provfiskad ,Abborre,2,"0,089","0,094","2,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2021-08-11,1,Provfiskad ,Id,3,"0,823","0,769","3,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2021-08-11,1,Provfiskad ,Löja,9,"0,155","0,150","9,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2021-08-11,1,Provfiskad ,Mört,39,"2,538","2,372","39,00",1,1,"63,54083","19,85867",
Fisketid natt,Antal översiktsnät,Norrbyn,101,"0,1-3 m",NEJ,2021-08-11,1,Provfiskad ,Nors,1,"0,013","0,015","1,00",1,1,"63,54083","19,85867",
