Station;Sampledate;IsIntegrated;Chl-a (mg m^-3;Notes;Depth
C1;1991-02-06 08:00:00;1;0,29;;20
A13;1991-02-08 11:00:00;1;0,14;;20
A13;1991-03-13 09:00:00;1;0,05;;20
C1;1991-03-14 15:30:00;1;0,39;;20
B01;1991-04-23 08:40:00;1;0,48;;20
C1;1991-04-24 09:15:00;1;2,84;;20
B3;1991-04-25 10:30:00;1;3,47;;14
C4;1991-05-14 10:00:00;1;4,24;;20
C1;1991-05-15 10:00:00;1;4,14;;20
A13;1991-05-17 08:30:00;1;0,88;;20
B3;1991-05-22 09:00:00;1;1,59;;14
C1;1991-05-29 09:45:00;1;2,75;;20
B3;1991-05-30 08:00:00;1;2,07;;14
A13;1991-06-11 09:00:00;1;0,96;;20
C1;1991-06-12 09:00:00;1;1,93;;20
B3;1991-06-13 08:00:00;1;2,07;;14
C4;1991-06-25 08:45:00;1;1,88;;20
C1;1991-06-26 08:15:00;1;2,60;;20
A13;1991-06-27 10:00:00;1;2,22;;20
B3;1991-06-28 09:00:00;1;2,60;;14
C4;1991-07-09 08:45:00;1;1,73;;20
C1;1991-07-10 08:00:00;1;1,54;;20
A13;1991-07-11 10:00:00;1;2,17;;20
B3;1991-07-12 09:00:00;1;2,99;;14
C4;1991-07-23 09:00:00;1;1,01;;20
C1;1991-07-24 10:15:00;1;1,25;;20
B3;1991-07-26 08:45:00;1;1,20;;14
A13;1991-07-31 12:00:00;1;1,45;;20
A13;1991-08-06 10:30:00;1;1,45;;20
C1;1991-08-07 09:45:00;1;1,69;;20
B3;1991-08-08 09:30:00;1;1,06;;14
A13;1991-08-21 09:00:00;1;1,11;;20
B3;1991-08-22 08:30:00;1;1,16;;14
C1;1991-08-23 10:30:00;1;1,64;;20
C4;1991-09-03 10:00:00;1;1,49;;20
B3;1991-09-04 09:00:00;1;0,63;;14
B01;1991-09-05 14:00:00;1;1,45;;20
C1;1991-09-17 12:15:00;1;1,73;;20
A13;1991-09-18 08:30:00;1;1,73;;20
B3;1991-09-19 07:45:00;1;1,78;;14
A13;1991-10-01 12:30:00;1;1,25;;20
C1;1991-10-02 09:30:00;1;1,54;;20
B3;1991-10-03 08:15:00;1;1,83;;14
A13;1991-10-16 10:00:00;1;1,83;;20
B3;1991-10-17 10:15:00;1;1,35;;14
C1;1991-10-19 07:30:00;1;1,41;;20
A13;1991-11-06 09:00:00;1;0,72;;20
C1;1991-12-10 10:45:00;1;0,69;;20
A13;1991-12-11 09:15:00;1;0,59;;20
B3;1991-12-12 09:15:00;1;0,54;;14
A13;1992-01-08 09:45:00;1;0,34;;20
C1;1992-01-09 10:00:00;1;0,24;;20
B3;1992-01-10 10:30:00;1;0,39;;14
B01;1992-04-07 10:00:00;1;0,43;;20
C1;1992-04-08 08:45:00;1;0,63;;20
B3;1992-04-09 08:30:00;1;5,35;;14
A13;1992-04-21 08:45:00;1;0,77;;20
B3;1992-04-22 14:30:00;1;4,82;;14
C1;1992-04-24 07:30:00;1;1,98;;20
A13;1992-05-05 09:45:00;1;1,69;;20
B3;1992-05-06 12:30:00;1;3,90;;14
C1;1992-05-07 07:30:00;1;5,06;;20
A13;1992-05-19 08:30:00;1;1,54;;20
C1;1992-05-20 08:30:00;1;5,30;;20
B3;1992-05-21 09:45:00;1;3,90;;14
B3;1992-06-02 09:00:00;1;1,59;;14
B3;1992-06-17 09:00:00;1;3,76;;14
B3;1992-06-30 09:30:00;1;1,98;;14
C1;1992-06-30 20:00:00;1;1,93;;20
B3;1992-07-14 08:30:00;1;2,89;;14
C1;1992-07-14 19:30:00;1;1,49;;20
B3;1992-07-28 09:00:00;1;1,76;;14
B3;1992-08-11 08:45:00;1;2,08;;14
C1;1992-08-11 18:00:00;1;1,42;;20
B3;1992-08-25 08:45:00;1;1,32;;14
C6;1992-08-25 18:00:00;1;1,40;;20
C15;1992-08-26 10:00:00;1;1,93;;20
C4;1992-08-26 04:00:00;1;1,88;;20
B01;1992-08-27 02:30:00;1;1,40;;20
A5;1992-08-27 14:00:00;1;1,59;;20
A13;1992-08-27 05:00:00;1;1,20;;20
B3;1992-09-08 09:30:00;1;0,43;;14
C1;1992-09-08 20:00:00;1;1,69;;20
B3;1992-09-22 09:00:00;1;0,77;;14
C1;1992-09-22 20:00:00;1;1,49;;20
B3;1992-10-06 09:00:00;1;0,81;;14
C1;1992-10-06 20:00:00;1;1,59;;20
B3;1992-10-21 09:00:00;1;1,19;;14
C15;1992-10-22 01:15:00;1;0,87;;20
C4;1992-10-22 05:00:00;1;1,69;;20
C6;1992-10-22 16:30:00;1;0,92;;20
B3;1992-11-03 09:15:00;1;1,51;;14
B3;1992-12-01 09:00:00;1;0,72;;14
B3;1993-01-12 10:15:00;1;0,63;;14
C1;1993-01-12 20:00:00;1;0,24;;20
B3;1993-01-28 09:30:00;1;0,14;;14
B3;1993-02-09 09:45:00;1;0,72;;14
C1;1993-02-09 20:00:00;1;0,43;;20
B3;1993-02-23 10:30:00;1;0,36;;14
B3;1993-03-25 08:30:00;1;2,02;;14
B3;1993-04-06 10:45:00;1;4,14;;14
B3;1993-04-20 09:45:00;1;3,33;;14
C1;1993-04-20 20:00:00;1;1,45;;20
B01;1993-05-04 08:00:00;1;0,63;;20
B3;1993-05-05 09:00:00;1;2,87;;14
C1;1993-05-05 00:00:00;1;2,65;;20
B01;1993-05-18 08:00:00;1;1,01;;20
A5;1993-05-18 15:15:00;1;1,78;;20
A13;1993-05-18 10:30:00;1;0,87;;20
B3;1993-05-19 08:00:00;1;1,40;;14
C1;1993-05-19 19:15:00;1;3,35;;20
C15;1993-05-20 13:15:00;1;2,99;;20
C4;1993-05-20 07:00:00;1;4,63;;20
B3;1993-06-01 09:15:00;1;1,64;;14
C1;1993-06-01 20:00:00;1;2,41;;20
B01;1993-06-15 07:30:00;1;0,92;;20
A5;1993-06-15 15:30:00;1;0,63;;20
A13;1993-06-15 10:00:00;1;0,96;;20
B3;1993-06-16 08:15:00;1;1,11;;14
C1;1993-06-16 21:30:00;1;1,88;;20
C15;1993-06-17 14:00:00;1;2,41;;20
C4;1993-06-17 08:20:00;1;2,22;;20
B3;1993-06-29 09:00:00;1;2,17;;14
A13;1993-07-13 08:30:00;1;1,06;;20
C1;1993-07-14 07:30:00;1;1,59;;20
B3;1993-07-15 07:00:00;1;1,54;;14
A13;1993-07-27 09:45:00;1;1,40;;20
C1;1993-07-28 09:15:00;1;1,45;;20
C4;1993-08-09 23:00:00;1;1,40;;20
C15;1993-08-10 06:45:00;1;1,25;;20
C1;1993-08-10 13:00:00;1;1,54;;20
B01;1993-08-11 23:50:00;1;1,01;;20
A5;1993-08-11 18:00:00;1;1,16;;20
A13;1993-08-11 09:30:00;1;1,11;;20
B3;1993-08-12 11:15:00;1;1,35;;14
A13;1993-08-24 09:30:00;1;1,01;;14
B3;1993-08-25 09:00:00;1;1,83;;14
C1;1993-08-26 09:00:00;1;1,59;;14
B01;1993-09-07 22:30:00;1;1,01;;14
A5;1993-09-07 16:15:00;1;1,11;;14
A13;1993-09-07 07:15:00;1;1,11;;14
B3;1993-09-08 07:30:00;1;0,05;;14
C15;1993-09-09 07:30:00;1;2,31;;14
C4;1993-09-09 00:45:00;1;2,31;;14
C1;1993-09-09 11:45:00;1;1,83;;14
B3;1993-09-21 09:00:00;1;0,84;;14
C1;1993-10-20 11:00:00;1;1,11;;14
B3;1993-10-21 09:00:00;1;0,58;;14
C15;1993-11-16 15:15:00;1;0,58;;14
C4;1993-11-16 06:00:00;1;0,68;;14
A3;1993-11-17 09:40:00;1;0,53;;14
A5;1993-11-17 18:00:00;1;0,87;;14
A13;1993-11-18 09:00:00;1;0,63;;14
C1;1993-11-19 08:45:00;1;0,77;;14
B3;1993-11-23 09:15:00;1;0,71;;14
A13;1993-12-14 09:00:00;1;0,19;;14
B3;1993-12-16 09:30:00;1;0,58;;14
C4;1994-01-10 23:00:00;1;10,90;Filter Millipore HA 0,45 um;14
C15;1994-01-11 05:30:00;1;9,92;Filter Millipore HA 0,45 um;14
C1;1994-01-11 10:30:00;1;11,79;Filter Millipore HA 0,45 um;14
B3;1994-01-12 08:00:00;1;10,32;Filter Millipore HA 0,45 um;14
B01;1994-01-13 18:20:00;1;0,95;Filter Millipore HA 0,45 um;14
A13;1994-01-13 09:15:00;1;7,81;Filter Millipore HA 0,45 um;14
B3;1994-02-23 10:10:00;1;3,90;Filter Millipore HA 0,45 um;14
B3;1994-03-22 09:40:00;1;1,34;Filter Millipore HA 0,45 um;14
C1;1994-03-24 07:30:00;1;1,61;Filter Millipore HA 0,45 um;14
C15;1994-04-12 14:00:00;1;33,85;Filter Millipore HA 0,45 um;14
C4;1994-04-12 07:10:00;1;30,40;Filter Millipore HA 0,45 um;14
C1;1994-04-13 08:00:00;1;26,18;Filter Millipore HA 0,45 um;14
B3;1994-04-15 10:00:00;1;9,11;Filter Millipore HA 0,45 um;14
C1;1994-05-03 08:00:00;1;16,33;Filter Millipore HA 0,45 um;14
A13;1994-05-04 08:00:00;1;2,01;Filter Millipore HA 0,45 um;14
B3;1994-05-05 10:00:00;1;4,43;Filter Millipore HA 0,45 um;14
C4;1994-05-16 22:00:00;1;10,64;Filter Millipore HA 0,45 um;14
C15;1994-05-17 04:10:00;1;15,45;Filter Millipore HA 0,45 um;14
C1;1994-05-17 08:30:00;1;11,04;Filter Millipore HA 0,45 um;14
B01;1994-05-18 01:30:00;1;3,08;Filter Millipore HA 0,45 um;14
A5;1994-05-18 15:15:00;1;3,77;Filter Millipore HA 0,45 um;14
A13;1994-05-18 08:30:00;1;2,21;Filter Millipore HA 0,45 um;14
B3;1994-05-19 08:00:00;1;5,38;Filter Millipore HA 0,45 um;14
A13;1994-05-31 08:00:00;1;2,55;Filter Millipore HA 0,45 um;14
C1;1994-06-01 08:00:00;1;6,14;Filter Millipore HA 0,45 um;14
B3;1994-06-02 08:00:00;1;7,56;Filter Millipore HA 0,45 um;14
B3;1994-06-02 08:00:00;1;5,26;Filter Millipore HA 0,45 um;14
B01;1994-06-14 05:00:00;1;5,12;Filter Millipore HA 0,45 um;14
A5;1994-06-14 15:45:00;1;4,51;Filter Millipore HA 0,45 um;14
A13;1994-06-14 07:00:00;1;7,06;Filter Millipore HA 0,45 um;14
C15;1994-06-15 14:00:00;1;4,65;Filter Millipore HA 0,45 um;14
C4;1994-06-15 19:50:00;1;4,49;Filter Millipore HA 0,45 um;14
C1;1994-06-15 08:00:00;1;5,60;Filter Millipore HA 0,45 um;14
B3;1994-06-16 09:00:00;1;5,43;Filter Millipore HA 0,45 um;14
C1;1994-06-28 08:00:00;1;1,25;Filter Millipore HA 0,45 um;14
A13;1994-06-29 08:00:00;1;1,66;Filter Millipore HA 0,45 um;14
B3;1994-06-30 08:00:00;1;3,49;Filter Millipore HA 0,45 um;14
A13;1994-07-12 10:00:00;1;8,39;Filter Millipore HA 0,45 um;14
C1;1994-07-13 09:00:00;1;2,85;Filter Millipore HA 0,45 um;14
