"","Date","Mean_Temperature_ºC","SD_Temperature_ºC","Mean_Salinity_psu","SD_Salinity_psu","Lat","Long","LatDeg","LongDeg","LongMin","Station","Djup","Station_depth"
"1",1991-04-23,0.639375,0.581279837943825,3.3775,0.159269164205337,64.42,21.85,64,21,51,"B01",83,NA
"2",1991-04-24,2.38681818181818,0.746084294762847,5.95090909090909,0.138251292628387,62.5867,19.9712,62,19,58.27,"C1",208,225
"3",1991-04-25,1.78272727272727,0.517997893993613,4.82181818181818,0.522318258953642,63.4997,19.819,63,19,49.14,"B3",25,25
"4",1991-05-28,1.435,0.545879300327752,3.4205,0.253594682826543,64.7083,22.0663,64,22,4,"A13",123,NA
"5",1991-05-29,3.58285714285714,0.716632003591403,5.93238095238095,0.163765221030131,62.5867,19.9712,62,19,58.27,"C1",208,225
"6",1991-05-30,5.69181818181818,1.34249631792283,4.13090909090909,0.765943268727581,63.4997,19.819,63,19,49.14,"B3",25,25
"7",1991-06-11,2.7525,1.58269881099209,3.426,0.258505828092704,64.7083,22.0663,64,22,4,"A13",123,NA
"8",1991-06-12,4.39347826086957,1.51403317093376,5.94869565217391,0.199642961941974,62.5867,19.9712,62,19,58.27,"C1",208,225
"9",1991-06-13,8.93454545454545,1.73178153146616,3.99272727272727,0.465791603812068,63.4997,19.819,63,19,49.14,"B3",25,25
"10",1991-06-25,5.4115,2.45534706518779,5.9095,0.247226190913674,61.08,19.58,61,19,35,"C4",0,128
"11",1991-06-26,5.26818181818182,2.05062275410512,5.86636363636364,0.223597117592493,62.5867,19.9712,62,19,58.27,"C1",208,225
"12",1991-06-27,4.712,2.75124201617723,3.291,0.327910449906518,64.7083,22.0663,64,22,4,"A13",123,NA
"13",1991-06-28,7.47636363636364,1.51813881267342,4.07090909090909,0.783702169774393,63.4997,19.819,63,19,49.14,"B3",25,25
"14",1991-07-09,7.193,4.66782277659341,5.867,0.286615458502558,61.08,19.58,61,19,35,"C4",0,128
"15",1991-07-10,7.22636363636364,4.40613051862812,5.76954545454545,0.385924706112318,62.5867,19.9712,62,19,58.27,"C1",208,225
"16",1991-07-11,6.493,4.72701764217923,3.423,0.250559374201007,64.7083,22.0663,64,22,4,"A13",123,NA
"17",1991-07-12,9.51,2.42209000658522,4.58636363636364,0.327605638757111,63.4997,19.819,63,19,49.14,"B3",25,25
"18",1991-07-23,8.1865,5.15590542867823,5.874,0.312399878698002,61.08,19.58,61,19,35,"C4",0,128
"19",1991-07-24,7.53173913043478,5.22736823421944,5.75869565217391,0.392014660530887,62.5867,19.9712,62,19,58.27,"C1",208,225
"20",1991-07-26,12.2409090909091,3.66518609226177,4.27,0.667742465326266,63.4997,19.819,63,19,49.14,"B3",25,25
"21",1991-08-06,8.396,7.07524550438841,3.3335,0.297715423994476,64.7083,22.0663,64,22,4,"A13",123,NA
"22",1991-08-07,8.40608695652174,6.62827602646449,5.70086956521739,0.456806235464111,62.5867,19.9712,62,19,58.27,"C1",208,225
"23",1991-08-08,13.3509090909091,4.24412642258794,4.44363636363636,0.604173364644168,63.4997,19.819,63,19,49.14,"B3",25,25
"24",1991-08-21,8.3275,6.52553113385779,3.5135,0.245727170059119,64.7083,22.0663,64,22,4,"A13",123,NA
"25",1991-08-22,12.8081818181818,3.43856312485846,4.60454545454545,0.498585271269893,63.4997,19.819,63,19,49.14,"B3",25,25
"26",1991-08-23,8.34636363636364,6.37392347246972,5.72681818181818,0.445735201806936,62.5867,19.9712,62,19,58.27,"C1",208,225
"27",1991-09-03,9.38578947368421,6.28657238864398,5.84842105263158,0.351081870127416,61.08,19.58,61,19,35,"C4",0,128
"28",1991-09-04,7.782,1.37852417058566,5.392,0.204222101317822,63.4997,19.819,63,19,49.14,"B3",25,25
"29",1991-09-05,7.62,4.47350613533246,3.42933333333333,0.184989060165601,64.42,21.85,64,21,51,"B01",83,NA
"30",1991-09-17,6.26181818181818,3.32331108035293,5.75590909090909,0.446954339746446,62.5867,19.9712,62,19,58.27,"C1",208,225
"31",1991-09-18,6.18277777777778,3.39868453021867,3.39666666666667,0.297914318515359,64.7083,22.0663,64,22,4,"A13",123,NA
"32",1991-09-19,7.457,0.0819281528061155,5.316,0.0397771570404701,63.4997,19.819,63,19,49.14,"B3",25,25
"33",1991-10-01,5.908,3.18397401470486,3.4455,0.29941126442263,64.7083,22.0663,64,22,4,"A13",123,NA
"34",1991-10-02,5.66652173913043,2.67278643961291,5.8504347826087,0.337766437065474,62.5867,19.9712,62,19,58.27,"C1",208,225
"35",1991-10-03,7.793,0.0205750658160144,4.54,0.113822473859759,63.4997,19.819,63,19,49.14,"B3",25,25
"36",1991-10-16,5.36736842105263,2.3202151291667,3.46421052631579,0.349099091145475,64.7083,22.0663,64,22,4,"A13",123,NA
"37",1991-10-17,7.47,0.0226077666104176,4.54,0.0611010092660779,63.4997,19.819,63,19,49.14,"B3",25,25
"38",1991-10-19,5.96045454545455,2.59633712183461,5.76545454545455,0.431969214872313,62.5867,19.9712,62,19,58.27,"C1",208,225
"39",1991-11-06,4.77052631578947,1.23053950988179,3.42894736842105,0.353975748335047,64.7083,22.0663,64,22,4,"A13",123,NA
"40",1991-11-07,5.37,1.38041401656998,5.83,0.356290411241809,62.5867,19.9712,62,19,58.27,"C1",208,225
"41",1991-12-10,4.1595652173913,0.259238013852303,5.95,0.316658692084596,62.5867,19.9712,62,19,58.27,"C1",208,225
"42",1991-12-11,3.59368421052632,0.314769942909205,3.33052631578947,0.389079735961246,64.7083,22.0663,64,22,4,"A13",123,NA
"43",1991-12-12,3.35333333333333,0.992987915334321,5.22,0.253623737059448,63.4997,19.819,63,19,49.14,"B3",25,25
"44",1992-01-08,2.67526315789474,0.812714029389952,3.55263157894737,0.299236846090985,64.7083,22.0663,64,22,4,"A13",123,125
"45",1992-01-09,3.96142857142857,0.255446388001195,5.90952380952381,0.170307844519159,62.5867,19.9712,62,19,58.27,"C1",208,225
"46",1992-01-10,0.358,0.415365969825272,5.355,0.189164831121785,63.4997,19.819,63,19,49.14,"B3",25,25
