"Station","Date","Seccidepth..m.","pH","Total.N..μM.","NO3..μM.","NO2..μM.","NH4..μM.","Total.P..μM.","PO4.P..μM.","SiO4..μM.","DOC..μM."
"A13",1991-02-08,NA,NA,20.59125,8.401875,0.115,0.14375,0.16875,0.06125,NA,NA
"A13",1991-03-13,9,NA,19.7788235294118,8.23941176470588,0.0552941176470588,0.33,0.166470588235294,0.0635294117647059,19.604375,312.7
"A13",1991-05-17,NA,NA,22.2516666666667,7.72944444444444,0.136666666666667,0.123888888888889,0.150555555555556,0.0816666666666667,30.2222222222222,315
"A13",1991-05-28,NA,NA,20.2335294117647,7.54,0.212941176470588,0.154705882352941,0.149411764705882,0.0484615384615385,29.3429411764706,286.272727272727
"A13",1991-06-11,NA,NA,NA,7.04882352941176,0.266470588235294,0.342352941176471,0.171176470588235,0.0375,29.6170588235294,293.4
"A13",1991-06-27,NA,NA,19.5958823529412,6.27294117647059,0.277647058823529,0.428235294117647,0.161176470588235,0.028,29.0870588235294,311.272727272727
"A13",1991-07-11,NA,NA,19.3235294117647,6.25555555555556,0.265,0.767222222222222,0.173529411764706,0.0408333333333333,26.93,317.5
"A13",1991-07-31,NA,NA,18.8038461538462,3.53538461538462,0.314615384615385,0.493076923076923,0.167692307692308,0.0438461538461538,27.0723076923077,303.727272727273
"A13",1991-08-06,NA,NA,21.1127777777778,5.43222222222222,0.361666666666667,0.505,0.236111111111111,0.0446666666666667,28.4655555555556,309.727272727273
"A13",1991-08-21,NA,NA,18.265,5.37111111111111,0.297777777777778,0.454444444444444,0.157777777777778,0.0447058823529412,26.1961111111111,302.909090909091
"A13",1991-09-18,NA,NA,18.7958823529412,5.71470588235294,0.275294117647059,0.467647058823529,0.156470588235294,0.02875,24.7123529411765,295.2
"A13",1991-10-01,NA,NA,18.8322222222222,5.93388888888889,0.266111111111111,0.437222222222222,0.172222222222222,0.0444444444444444,29.225,302.272727272727
"A13",1991-10-16,NA,NA,20.5235294117647,6.75294117647059,0.217058823529412,0.496470588235294,0.177647058823529,0.0711764705882353,26.8076470588235,300.9
"A13",1991-11-06,NA,NA,18.9794117647059,7.00352941176471,0.195294117647059,0.464705882352941,0.160588235294118,0.05,29.4111764705882,300.888888888889
"A13",1991-12-11,NA,NA,19.5066666666667,7.25944444444444,0.145,0.675,0.172222222222222,0.0427777777777778,29.815,300
