"Textbox4","Textbox7","Fångstområde1","StationsNr1","DJUPSTRATUM","Störning1","Date","Ansträngning","Fångsttyp1","Artbestämning","Antal1","Vikt","Beräknad_vikt1","Antal_per_anstr1","Fisketid","Antal_Redskap","Lat","Long","Information","Year","Station","Env_Station","Date_env","Mean_chla","Depth","Date_Diff"
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2006-08-01,1,"Provfiskad ","Abborre",2,NA,0.044,2,1,1,62.8788,18.2153,NA,2006,"5","GA1",2006-07-31,2.005,10,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2006-08-01,1,"Provfiskad ","Gädda",1,NA,2.091,1,1,1,62.8788,18.2153,NA,2006,"5","GA1",2006-07-31,2.005,10,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2006-08-01,1,"Provfiskad ","Mört",14,NA,0.766,14,1,1,62.8788,18.2153,NA,2006,"5","GA1",2006-07-31,2.005,10,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2006-08-01,1,"Provfiskad ","Storspigg",208,NA,0.769,208,1,1,62.8788,18.2153,NA,2006,"5","GA1",2006-07-31,2.005,10,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2006-08-01,1,"Provfiskad ","Strömming",14,NA,0.358,14,1,1,62.8788,18.2153,NA,2006,"5","GA1",2006-07-31,2.005,10,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2007-07-31,1,"Provfiskad ","Abborre",3,NA,0.541,3,1,1,62.8788,18.2153,NA,2007,"5","GA1",2007-07-31,1.535,10,0
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2007-07-31,1,"Provfiskad ","Löja",2,NA,0.06,2,1,1,62.8788,18.2153,NA,2007,"5","GA1",2007-07-31,1.535,10,0
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2007-07-31,1,"Provfiskad ","Mört",4,NA,0.474,4,1,1,62.8788,18.2153,NA,2007,"5","GA1",2007-07-31,1.535,10,0
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2007-07-31,1,"Provfiskad ","Storspigg",178,NA,0.66,178,1,1,62.8788,18.2153,NA,2007,"5","GA1",2007-07-31,1.535,10,0
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2007-07-31,1,"Provfiskad ","Strömming",19,NA,0.449,19,1,1,62.8788,18.2153,NA,2007,"5","GA1",2007-07-31,1.535,10,0
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2008-07-30,1,"Provfiskad ","Abborre",1,NA,0.006,1,1,1,62.8788,18.2153,NA,2008,"5","GA1",2008-07-29,3.015,10,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2008-07-30,1,"Provfiskad ","Mört",3,NA,0.098,3,1,1,62.8788,18.2153,NA,2008,"5","GA1",2008-07-29,3.015,10,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2008-07-30,1,"Provfiskad ","Storspigg",353,NA,1.296,353,1,1,62.8788,18.2153,NA,2008,"5","GA1",2008-07-29,3.015,10,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2008-07-30,1,"Provfiskad ","Strömming",74,NA,1.534,74,1,1,62.8788,18.2153,NA,2008,"5","GA1",2008-07-29,3.015,10,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2009-08-04,1,"Provfiskad ","Abborre",7,0.429,0.476,7,1,1,62.8788,18.2153,NA,2009,"5","GA1",2009-07-28,5.57,10,7
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2009-08-04,1,"Provfiskad ","Mört",49,1.176,1.101,49,1,1,62.8788,18.2153,NA,2009,"5","GA1",2009-07-28,5.57,10,7
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2009-08-04,1,"Provfiskad ","Storspigg",194,0.766,0.721,194,1,1,62.8788,18.2153,NA,2009,"5","GA1",2009-07-28,5.57,10,7
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2009-08-04,1,"Provfiskad ","Strömming",24,0.585,0.584,24,1,1,62.8788,18.2153,NA,2009,"5","GA1",2009-07-28,5.57,10,7
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2010-07-28,1,"Provfiskad ","Abborre",1,0.025,0.022,1,1,1,62.8788,18.2153,NA,2010,"5","GA1",2010-08-02,2.65,10,-5
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2010-07-28,1,"Provfiskad ","Mört",58,1.063,0.992,58,1,1,62.8788,18.2153,NA,2010,"5","GA1",2010-08-02,2.65,10,-5
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2010-07-28,1,"Provfiskad ","Storspigg",488,1.976,1.835,488,1,1,62.8788,18.2153,NA,2010,"5","GA1",2010-08-02,2.65,10,-5
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2010-07-28,1,"Provfiskad ","Strömming",17,0.424,0.428,17,1,1,62.8788,18.2153,NA,2010,"5","GA1",2010-08-02,2.65,10,-5
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2011-08-03,1,"Provfiskad ","Abborre",8,1.254,1.237,8,1,1,62.8788,18.2153,NA,2011,"5","GA1",2011-08-02,2.01,10,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2011-08-03,1,"Provfiskad ","Mört",73,2.598,2.349,73,1,1,62.8788,18.2153,NA,2011,"5","GA1",2011-08-02,2.01,10,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2011-08-03,1,"Provfiskad ","Storspigg",301,1.204,1.109,301,1,1,62.8788,18.2153,NA,2011,"5","GA1",2011-08-02,2.01,10,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2011-08-03,1,"Provfiskad ","Strömming",14,0.367,0.371,14,1,1,62.8788,18.2153,NA,2011,"5","GA1",2011-08-02,2.01,10,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2012-08-08,1,"Provfiskad ","Abborre",13,0.288,0.29,13,1,1,62.8788,18.2153,NA,2012,"5","GA1",2012-07-30,2.625,10,9
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2012-08-08,1,"Provfiskad ","Mört",80,2.139,1.93,80,1,1,62.8788,18.2153,NA,2012,"5","GA1",2012-07-30,2.625,10,9
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2012-08-08,1,"Provfiskad ","Sik",1,0.374,0.383,1,1,1,62.8788,18.2153,NA,2012,"5","GA1",2012-07-30,2.625,10,9
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2012-08-08,1,"Provfiskad ","Storspigg",303,1.199,1.168,303,1,1,62.8788,18.2153,NA,2012,"5","GA1",2012-07-30,2.625,10,9
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2012-08-08,1,"Provfiskad ","Strömming",23,0.628,0.635,23,1,1,62.8788,18.2153,NA,2012,"5","GA1",2012-07-30,2.625,10,9
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2013-08-07,1,"Provfiskad ","Abborre",2,0.131,0.132,2,1,1,62.8788,18.2153,NA,2013,"5","GA1",2013-08-12,4.745,10,-5
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2013-08-07,1,"Provfiskad ","Mört",89,1.209,1.117,89,1,1,62.8788,18.2153,NA,2013,"5","GA1",2013-08-12,4.745,10,-5
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2013-08-07,1,"Provfiskad ","Storspigg",200,0.85,0.756,200,1,1,62.8788,18.2153,NA,2013,"5","GA1",2013-08-12,4.745,10,-5
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2013-08-07,1,"Provfiskad ","Strömming",17,0.483,0.467,17,1,1,62.8788,18.2153,NA,2013,"5","GA1",2013-08-12,4.745,10,-5
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2014-08-06,1,"Provfiskad ","Abborre",40,3.394,3.374,40,1,1,62.8788,18.2153,NA,2014,"5","GA1",2014-07-29,2.985,10,8
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2014-08-06,1,"Provfiskad ","Mört",56,1.241,0.893,56,1,1,62.8788,18.2153,NA,2014,"5","GA1",2014-07-29,2.985,10,8
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2014-08-06,1,"Provfiskad ","Storspigg",134,0.515,0.494,134,1,1,62.8788,18.2153,NA,2014,"5","GA1",2014-07-29,2.985,10,8
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2014-08-06,1,"Provfiskad ","Strömming",5,0.169,0.197,5,1,1,62.8788,18.2153,NA,2014,"5","GA1",2014-07-29,2.985,10,8
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2015-08-05,1,"Provfiskad ","Abborre",12,1.665,1.674,12,1,1,62.8788,18.2153,NA,2015,"5","GA1",2015-08-03,2.455,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2015-08-05,1,"Provfiskad ","Mört",66,2.193,2.016,66,1,1,62.8788,18.2153,NA,2015,"5","GA1",2015-08-03,2.455,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2015-08-05,1,"Provfiskad ","Storspigg",253,1.009,0.948,253,1,1,62.8788,18.2153,NA,2015,"5","GA1",2015-08-03,2.455,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2015-08-05,1,"Provfiskad ","Strömming",27,0.431,0.448,27,1,1,62.8788,18.2153,NA,2015,"5","GA1",2015-08-03,2.455,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2016-08-03,1,"Provfiskad ","Abborre",5,1.066,1.11,5,1,1,62.8788,18.2153,"Viktuppgift saknas för mörtarna i maska 24.",2016,"5","GA1",2016-08-16,3.865,10,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2016-08-03,1,"Provfiskad ","Mört",124,3.24,3.603,124,1,1,62.8788,18.2153,"Viktuppgift saknas för mörtarna i maska 24.",2016,"5","GA1",2016-08-16,3.865,10,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2016-08-03,1,"Provfiskad ","Storspigg",295,1.288,1.124,295,1,1,62.8788,18.2153,"Viktuppgift saknas för mörtarna i maska 24.",2016,"5","GA1",2016-08-16,3.865,10,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2016-08-03,1,"Provfiskad ","Strömming",2,0.04,0.04,2,1,1,62.8788,18.2153,"Viktuppgift saknas för mörtarna i maska 24.",2016,"5","GA1",2016-08-16,3.865,10,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2017-08-02,1,"Provfiskad ","Abborre",6,0.34,0.347,6,1,1,62.8788,18.2153,NA,2017,"5","GA1",2017-07-31,3.19,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2017-08-02,1,"Provfiskad ","Mört",51,2.344,2.141,51,1,1,62.8788,18.2153,NA,2017,"5","GA1",2017-07-31,3.19,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2017-08-02,1,"Provfiskad ","Storspigg",17,0.072,0.069,17,1,1,62.8788,18.2153,NA,2017,"5","GA1",2017-07-31,3.19,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2017-08-02,1,"Provfiskad ","Strömming",13,0.26,0.266,13,1,1,62.8788,18.2153,NA,2017,"5","GA1",2017-07-31,3.19,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2018-08-01,1,"Provfiskad ","Abborre",12,1.2,1.221,12,1,1,62.8788,18.2153,NA,2018,"5","GA1",2018-08-13,1.44,10,-12
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2018-08-01,1,"Provfiskad ","Mört",9,0.578,0.496,9,1,1,62.8788,18.2153,NA,2018,"5","GA1",2018-08-13,1.44,10,-12
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2018-08-01,1,"Provfiskad ","Storspigg",157,0.666,0.567,157,1,1,62.8788,18.2153,NA,2018,"5","GA1",2018-08-13,1.44,10,-12
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2019-07-31,1,"Provfiskad ","Abborre",6,0.746,0.758,6,1,1,62.8788,18.2153,NA,2019,"5","GA1",2019-08-06,2.575,5.5,-6
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2019-07-31,1,"Provfiskad ","Mört",11,0.918,0.815,11,1,1,62.8788,18.2153,NA,2019,"5","GA1",2019-08-06,2.575,5.5,-6
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2019-07-31,1,"Provfiskad ","Sik",1,0.825,0.644,1,1,1,62.8788,18.2153,NA,2019,"5","GA1",2019-08-06,2.575,5.5,-6
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2019-07-31,1,"Provfiskad ","Storspigg",143,0.611,0.534,143,1,1,62.8788,18.2153,NA,2019,"5","GA1",2019-08-06,2.575,5.5,-6
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2019-07-31,1,"Provfiskad ","Strömming",29,0.934,0.935,29,1,1,62.8788,18.2153,NA,2019,"5","GA1",2019-08-06,2.575,5.5,-6
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2020-07-29,1,"Provfiskad ","Abborre",4,0.304,0.321,4,1,1,62.8788,18.2153,"djup 2,0m",2020,"5","GA1",2020-08-05,4.9775,5.25,-7
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2020-07-29,1,"Provfiskad ","Mört",2,0.18,0.146,2,1,1,62.8788,18.2153,"djup 2,0m",2020,"5","GA1",2020-08-05,4.9775,5.25,-7
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2020-07-29,1,"Provfiskad ","Storspigg",25,0.106,0.096,25,1,1,62.8788,18.2153,"djup 2,0m",2020,"5","GA1",2020-08-05,4.9775,5.25,-7
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2020-07-29,1,"Provfiskad ","Strömming",125,2.662,2.687,125,1,1,62.8788,18.2153,"djup 2,0m",2020,"5","GA1",2020-08-05,4.9775,5.25,-7
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2021-08-04,1,"Provfiskad ","Abborre",8,1.442,1.419,8,1,1,62.8788,18.2153,NA,2021,"5","GA1",2021-08-04,1.74,5.25,0
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2021-08-04,1,"Provfiskad ","Mört",20,1.45,1.32,20,1,1,62.8788,18.2153,NA,2021,"5","GA1",2021-08-04,1.74,5.25,0
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2021-08-04,1,"Provfiskad ","Storspigg",17,0.068,0.06,17,1,1,62.8788,18.2153,NA,2021,"5","GA1",2021-08-04,1.74,5.25,0
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2021-08-04,1,"Provfiskad ","Strömming",47,0.852,0.901,47,1,1,62.8788,18.2153,NA,2021,"5","GA1",2021-08-04,1.74,5.25,0
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2022-08-04,1,"Provfiskad ","Abborre",6,0.096,0.088,6,1,1,62.8788,18.2153,NA,2022,"5","GA1",2022-08-03,1.6875,5.25,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2022-08-04,1,"Provfiskad ","Bergsimpa",1,0.006,0.007,1,1,1,62.8788,18.2153,NA,2022,"5","GA1",2022-08-03,1.6875,5.25,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2022-08-04,1,"Provfiskad ","Mört",10,0.832,0.723,10,1,1,62.8788,18.2153,NA,2022,"5","GA1",2022-08-03,1.6875,5.25,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2022-08-04,1,"Provfiskad ","Nors",2,0.022,0.024,2,1,1,62.8788,18.2153,NA,2022,"5","GA1",2022-08-03,1.6875,5.25,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2022-08-04,1,"Provfiskad ","Storspigg",48,0.192,0.178,48,1,1,62.8788,18.2153,NA,2022,"5","GA1",2022-08-03,1.6875,5.25,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2022-08-04,1,"Provfiskad ","Strömming",60,1.514,1.496,60,1,1,62.8788,18.2153,NA,2022,"5","GA1",2022-08-03,1.6875,5.25,1
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2023-08-02,1,"Provfiskad ","Abborre",1,0.088,0.092,1,1,1,62.8788,18.2153,NA,2023,"5","GA1",2023-08-15,2.7175,5.25,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2023-08-02,1,"Provfiskad ","Mört",9,0.466,0.424,9,1,1,62.8788,18.2153,NA,2023,"5","GA1",2023-08-15,2.7175,5.25,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2023-08-02,1,"Provfiskad ","Nors",1,0.016,0.019,1,1,1,62.8788,18.2153,NA,2023,"5","GA1",2023-08-15,2.7175,5.25,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2023-08-02,1,"Provfiskad ","Sik",1,0.528,0.46,1,1,1,62.8788,18.2153,NA,2023,"5","GA1",2023-08-15,2.7175,5.25,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2023-08-02,1,"Provfiskad ","Storspigg",8,0.036,0.029,8,1,1,62.8788,18.2153,NA,2023,"5","GA1",2023-08-15,2.7175,5.25,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2023-08-02,1,"Provfiskad ","Strömming",16,0.428,0.423,16,1,1,62.8788,18.2153,NA,2023,"5","GA1",2023-08-15,2.7175,5.25,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2024-07-31,1,"Provfiskad ","Abborre",13,1.78,1.776,13,1,1,62.8788,18.2153,NA,2024,"5","GA1",2024-08-13,2.1725,5.25,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2024-07-31,1,"Provfiskad ","Mindre havsnål",1,0.001,0,1,1,1,62.8788,18.2153,NA,2024,"5","GA1",2024-08-13,2.1725,5.25,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2024-07-31,1,"Provfiskad ","Mört",6,0.156,0.183,6,1,1,62.8788,18.2153,NA,2024,"5","GA1",2024-08-13,2.1725,5.25,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2024-07-31,1,"Provfiskad ","Sik",1,0.588,0.594,1,1,1,62.8788,18.2153,NA,2024,"5","GA1",2024-08-13,2.1725,5.25,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2024-07-31,1,"Provfiskad ","Storspigg",216,0.924,0.817,216,1,1,62.8788,18.2153,NA,2024,"5","GA1",2024-08-13,2.1725,5.25,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ",2024-07-31,1,"Provfiskad ","Strömming",100,2.398,2.312,100,1,1,62.8788,18.2153,NA,2024,"5","GA1",2024-08-13,2.1725,5.25,-13
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2006-08-03,1,"Provfiskad ","Abborre",2,NA,0.43,2,1,1,62.8468,18.2257,NA,2006,"5","GA1",2006-07-31,2.005,10,3
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2006-08-03,1,"Provfiskad ","Mört",1,NA,0.079,1,1,1,62.8468,18.2257,NA,2006,"5","GA1",2006-07-31,2.005,10,3
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2006-08-03,1,"Provfiskad ","Sik",1,NA,0.062,1,1,1,62.8468,18.2257,NA,2006,"5","GA1",2006-07-31,2.005,10,3
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2006-08-03,1,"Provfiskad ","Storspigg",121,NA,0.442,121,1,1,62.8468,18.2257,NA,2006,"5","GA1",2006-07-31,2.005,10,3
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2006-08-03,1,"Provfiskad ","Strömming",4,NA,0.163,4,1,1,62.8468,18.2257,NA,2006,"5","GA1",2006-07-31,2.005,10,3
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2007-08-02,1,"Provfiskad ","Löja",1,NA,0.018,1,1,1,62.8468,18.2257,NA,2007,"5","GA1",2007-07-31,1.535,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2007-08-02,1,"Provfiskad ","Sik",3,NA,0.992,3,1,1,62.8468,18.2257,NA,2007,"5","GA1",2007-07-31,1.535,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2007-08-02,1,"Provfiskad ","Storspigg",5,NA,0.02,5,1,1,62.8468,18.2257,NA,2007,"5","GA1",2007-07-31,1.535,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2007-08-02,1,"Provfiskad ","Strömming",5,NA,0.115,5,1,1,62.8468,18.2257,NA,2007,"5","GA1",2007-07-31,1.535,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2008-07-31,1,"Provfiskad ","Sik",1,NA,0.873,1,1,1,62.8468,18.2257,NA,2008,"5","GA1",2008-07-29,3.015,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2008-07-31,1,"Provfiskad ","Storspigg",19,NA,0.066,19,1,1,62.8468,18.2257,NA,2008,"5","GA1",2008-07-29,3.015,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2009-08-06,1,"Provfiskad ","Mört",4,0.249,0.247,4,1,1,62.8468,18.2257,NA,2009,"5","GA1",2009-07-28,5.57,10,9
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2009-08-06,1,"Provfiskad ","Storspigg",235,0.964,0.872,235,1,1,62.8468,18.2257,NA,2009,"5","GA1",2009-07-28,5.57,10,9
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2009-08-06,1,"Provfiskad ","Strömming",25,0.584,0.626,25,1,1,62.8468,18.2257,NA,2009,"5","GA1",2009-07-28,5.57,10,9
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2010-07-30,1,"Provfiskad ","Mört",5,0.05,0.048,5,1,1,62.8468,18.2257,NA,2010,"5","GA1",2010-08-02,2.65,10,-3
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2010-07-30,1,"Provfiskad ","Storspigg",102,0.371,0.367,102,1,1,62.8468,18.2257,NA,2010,"5","GA1",2010-08-02,2.65,10,-3
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2010-07-30,1,"Provfiskad ","Strömming",24,0.843,0.833,24,1,1,62.8468,18.2257,NA,2010,"5","GA1",2010-08-02,2.65,10,-3
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2011-08-04,1,"Provfiskad ","Mört",9,0.236,0.209,9,1,1,62.8468,18.2257,NA,2011,"5","GA1",2011-08-02,2.01,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2011-08-04,1,"Provfiskad ","Storspigg",315,1.268,1.162,315,1,1,62.8468,18.2257,NA,2011,"5","GA1",2011-08-02,2.01,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2011-08-04,1,"Provfiskad ","Strömming",8,0.248,0.249,8,1,1,62.8468,18.2257,NA,2011,"5","GA1",2011-08-02,2.01,10,2
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2012-08-10,1,"Provfiskad ","Mört",1,0.019,0.019,1,1,1,62.8468,18.2257,NA,2012,"5","GA1",2012-07-30,2.625,10,11
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2012-08-10,1,"Provfiskad ","Sik",2,0.15,0.157,2,1,1,62.8468,18.2257,NA,2012,"5","GA1",2012-07-30,2.625,10,11
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2012-08-10,1,"Provfiskad ","Storspigg",44,0.176,0.164,44,1,1,62.8468,18.2257,NA,2012,"5","GA1",2012-07-30,2.625,10,11
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2012-08-10,1,"Provfiskad ","Strömming",5,0.137,0.132,5,1,1,62.8468,18.2257,NA,2012,"5","GA1",2012-07-30,2.625,10,11
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",102,"0,1-3 m","NEJ",2013-08-09,1,"Provfiskad ","Abborre",1,0.064,0.065,1,1,1,62.8468,18.2257,NA,2013,"5","GA1",2013-08-12,4.745,10,-3
