"Textbox4","Textbox7","Fångstområde1","StationsNr1","DJUPSTRATUM","Störning1","Fiskedatum1","Ansträngning","Fångsttyp1","Artbestämning","Antal1","Vikt","Beräknad_vikt1","Antal_per_anstr1","Fisketid","Antal_Redskap","Lat_grader","Long_grader","Information"
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2004-08-06",1,"Provfiskad ","Abborre",9,NA,"0,884","9,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2004-08-06",1,"Provfiskad ","Mört",54,NA,"2,232","54,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2004-08-06",1,"Provfiskad ","Sik",2,NA,"0,431","2,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2004-08-06",1,"Provfiskad ","Storspigg",5,NA,"0,018","5,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2004-08-06",1,"Provfiskad ","Strömming",29,NA,"0,596","29,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2005-08-03",1,"Provfiskad ","Abborre",3,NA,"0,253","3,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2005-08-03",1,"Provfiskad ","Löja",3,NA,"0,099","3,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2005-08-03",1,"Provfiskad ","Mört",32,NA,"1,338","32,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2005-08-03",1,"Provfiskad ","Sik",1,NA,"0,164","1,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2005-08-03",1,"Provfiskad ","Storspigg",167,NA,"0,614","167,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2005-08-03",1,"Provfiskad ","Strömming",30,NA,"0,745","30,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2006-08-01",1,"Provfiskad ","Abborre",2,NA,"0,044","2,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2006-08-01",1,"Provfiskad ","Gädda",1,NA,"2,091","1,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2006-08-01",1,"Provfiskad ","Mört",14,NA,"0,766","14,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2006-08-01",1,"Provfiskad ","Storspigg",208,NA,"0,769","208,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2006-08-01",1,"Provfiskad ","Strömming",14,NA,"0,358","14,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2007-07-31",1,"Provfiskad ","Abborre",3,NA,"0,541","3,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2007-07-31",1,"Provfiskad ","Löja",2,NA,"0,060","2,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2007-07-31",1,"Provfiskad ","Mört",4,NA,"0,474","4,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2007-07-31",1,"Provfiskad ","Storspigg",178,NA,"0,660","178,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2007-07-31",1,"Provfiskad ","Strömming",19,NA,"0,449","19,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2008-07-30",1,"Provfiskad ","Abborre",1,NA,"0,006","1,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2008-07-30",1,"Provfiskad ","Mört",3,NA,"0,098","3,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2008-07-30",1,"Provfiskad ","Storspigg",353,NA,"1,296","353,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2008-07-30",1,"Provfiskad ","Strömming",74,NA,"1,534","74,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2009-08-04",1,"Provfiskad ","Abborre",7,"0,429","0,476","7,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2009-08-04",1,"Provfiskad ","Mört",49,"1,176","1,101","49,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2009-08-04",1,"Provfiskad ","Storspigg",194,"0,766","0,721","194,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2009-08-04",1,"Provfiskad ","Strömming",24,"0,585","0,584","24,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2010-07-28",1,"Provfiskad ","Abborre",1,"0,025","0,022","1,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2010-07-28",1,"Provfiskad ","Mört",58,"1,063","0,992","58,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2010-07-28",1,"Provfiskad ","Storspigg",488,"1,976","1,835","488,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2010-07-28",1,"Provfiskad ","Strömming",17,"0,424","0,428","17,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2011-08-03",1,"Provfiskad ","Abborre",8,"1,254","1,237","8,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2011-08-03",1,"Provfiskad ","Mört",73,"2,598","2,349","73,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2011-08-03",1,"Provfiskad ","Storspigg",301,"1,204","1,109","301,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2011-08-03",1,"Provfiskad ","Strömming",14,"0,367","0,371","14,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2012-08-08",1,"Provfiskad ","Abborre",13,"0,288","0,290","13,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2012-08-08",1,"Provfiskad ","Mört",80,"2,139","1,930","80,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2012-08-08",1,"Provfiskad ","Sik",1,"0,374","0,383","1,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2012-08-08",1,"Provfiskad ","Storspigg",303,"1,199","1,168","303,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2012-08-08",1,"Provfiskad ","Strömming",23,"0,628","0,635","23,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2013-08-07",1,"Provfiskad ","Abborre",2,"0,131","0,132","2,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2013-08-07",1,"Provfiskad ","Mört",89,"1,209","1,117","89,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2013-08-07",1,"Provfiskad ","Storspigg",200,"0,850","0,756","200,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2013-08-07",1,"Provfiskad ","Strömming",17,"0,483","0,467","17,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2014-08-06",1,"Provfiskad ","Abborre",40,"3,394","3,374","40,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2014-08-06",1,"Provfiskad ","Mört",56,"1,241","0,893","56,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2014-08-06",1,"Provfiskad ","Storspigg",134,"0,515","0,494","134,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2014-08-06",1,"Provfiskad ","Strömming",5,"0,169","0,197","5,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2015-08-05",1,"Provfiskad ","Abborre",12,"1,665","1,674","12,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2015-08-05",1,"Provfiskad ","Mört",66,"2,193","2,016","66,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2015-08-05",1,"Provfiskad ","Storspigg",253,"1,009","0,948","253,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2015-08-05",1,"Provfiskad ","Strömming",27,"0,431","0,448","27,00",1,1,"62,87883","18,21533",NA
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2016-08-03",1,"Provfiskad ","Abborre",5,"1,066","1,110","5,00",1,1,"62,87883","18,21533","Viktuppgift saknas för mörtarna i maska 24."
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2016-08-03",1,"Provfiskad ","Mört",124,"3,240","3,603","124,00",1,1,"62,87883","18,21533","Viktuppgift saknas för mörtarna i maska 24."
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2016-08-03",1,"Provfiskad ","Storspigg",295,"1,288","1,124","295,00",1,1,"62,87883","18,21533","Viktuppgift saknas för mörtarna i maska 24."
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2016-08-03",1,"Provfiskad ","Strömming",2,"0,040","0,040","2,00",1,1,"62,87883","18,21533","Viktuppgift saknas för mörtarna i maska 24."
"Fisketid natt","Antal översiktsnät","Gaviksfjärden",101,"0,1-3 m","NEJ","2017-08-02",1,"Provfiskad ","Abborre",6,"0,340","0,347","6,00",1,1,"62,87883","18,21533",NA
